date,action,price,shares,cash,position_value,total_value,prediction,probability_up
2025-07-07,空仓,120540.0,0.0,10000.0,0.0,10000.0,跌,0.48653000593185425
2025-07-08,空仓,120370.0,0.0,10000.0,0.0,10000.0,跌,0.4888419508934021
2025-07-09,买入,120010.0,0.08332638946754437,0.0,9927.506041163235,9927.506041163235,涨,0.5141510367393494
2025-07-10,卖出,119140.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.48462924361228943
2025-07-11,空仓,121390.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4817102551460266
2025-07-14,空仓,121100.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4821656048297882
2025-07-15,空仓,119520.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.48110145330429077
2025-07-16,空仓,120710.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.47906339168548584
2025-07-17,空仓,119970.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4785594940185547
2025-07-18,空仓,120580.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4792742431163788
2025-07-21,空仓,122700.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4849810004234314
2025-07-22,空仓,123720.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4897100627422333
2025-07-23,空仓,123370.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.49242573976516724
2025-07-24,空仓,124360.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.49325063824653625
2025-07-25,空仓,124360.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4950824975967407
2025-07-28,买入,123980.0,0.08007344766222967,0.0,9738.532704680372,9738.532704680372,涨,0.5050428509712219
2025-07-29,持有,121800.0,0.08007344766222967,0.0,9752.945925259573,9752.945925259573,涨,0.5010184645652771
2025-07-30,持有,121720.0,0.08007344766222967,0.0,9746.540049446596,9746.540049446596,涨,0.5028573274612427
2025-07-31,持有,119830.0,0.08007344766222967,0.0,9595.20123336498,9595.20123336498,涨,0.5436290502548218
2025-08-01,持有,119770.0,0.08007344766222967,0.0,9590.396826505246,9590.396826505246,涨,0.5564805865287781
2025-08-04,持有,120630.0,0.08007344766222967,0.0,9659.259991494764,9659.259991494764,涨,0.5282074213027954
2025-08-05,持有,120910.0,0.08007344766222967,0.0,9681.680556840189,9681.680556840189,涨,0.5041699409484863
2025-08-06,卖出,120500.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4922909736633301
2025-08-07,空仓,121850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4889931082725525
2025-08-08,空仓,121180.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4864747226238251
2025-08-11,空仓,122130.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4859977960586548
2025-08-12,空仓,122440.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48571842908859253
2025-08-13,空仓,122340.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4842579960823059
2025-08-14,空仓,121200.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48080822825431824
2025-08-15,空仓,120770.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48016390204429626
2025-08-18,空仓,120460.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4836340844631195
2025-08-19,空仓,120450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48590630292892456
2025-08-20,空仓,120060.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4905754625797272
2025-08-21,空仓,119830.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4935459494590759
2025-08-22,空仓,119610.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.494201123714447
2025-08-25,空仓,120310.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4881225526332855
2025-08-26,空仓,120370.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4865899980068207
2025-08-27,空仓,121760.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4885203242301941
2025-08-28,空仓,120990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.486698180437088
2025-08-29,空仓,121700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4856569766998291
2025-09-01,空仓,123450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48804256319999695
2025-09-02,空仓,122530.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4871985912322998
2025-09-03,空仓,121790.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4863917827606201
2025-09-04,空仓,120850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48899832367897034
2025-09-05,空仓,121310.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4839930236339569
2025-09-08,空仓,122140.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47843530774116516
2025-09-09,空仓,120700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47916069626808167
2025-09-10,空仓,120850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48058298230171204
2025-09-11,空仓,120620.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48268455266952515
2025-09-12,空仓,121980.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4824199974536896
2025-09-15,空仓,122580.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48531004786491394
2025-09-16,空仓,122610.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48607683181762695
2025-09-17,空仓,121990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4833572804927826
2025-09-18,空仓,121110.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4812425374984741
2025-09-19,空仓,121730.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47874170541763306
2025-09-22,空仓,121560.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47853466868400574
2025-09-23,空仓,120910.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4790087938308716
2025-09-24,空仓,121450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47976425290107727
2025-09-25,空仓,122990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4832082986831665
2025-09-26,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4804254174232483
2025-09-29,空仓,121100.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47862061858177185
2025-09-30,空仓,120900.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47807008028030396
2025-10-09,空仓,124480.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4833777844905853
2025-10-10,空仓,122180.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4797041416168213
2025-10-13,空仓,121410.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47696653008461
2025-10-14,空仓,120990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4766116142272949
2025-10-15,空仓,121330.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47567957639694214
2025-10-16,空仓,121420.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47674086689949036
2025-10-17,空仓,121330.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.478495329618454
2025-10-20,空仓,120860.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4797666668891907
2025-10-21,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48092982172966003
2025-10-22,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48167604207992554
2025-10-23,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4818888008594513
2025-10-24,空仓,122150.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48310497403144836
2025-10-27,空仓,122400.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4839385151863098
2025-10-28,空仓,120560.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47995704412460327
2025-10-29,空仓,121540.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47828859090805054
2025-10-30,空仓,120980.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47757527232170105
2025-10-31,空仓,120590.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4776676595211029
2025-11-03,空仓,120950.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47878435254096985
2025-11-04,空仓,119700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4798002243041992
2025-11-05,空仓,120030.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4813220798969269
2025-11-06,空仓,119750.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48309409618377686
2025-11-07,空仓,119440.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4849286675453186
2025-11-10,空仓,119680.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48485857248306274
2025-11-11,空仓,119380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48473960161209106
2025-11-12,空仓,118710.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48500990867614746
2025-11-13,空仓,118930.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4845196604728699
2025-11-14,空仓,117080.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.49078911542892456
2025-11-17,买入,117020.0,0.08245471238505106,0.0,9626.587670954712,9626.587670954712,涨,0.5024939179420471
2025-11-18,持有,115000.0,0.08245471238505106,0.0,9482.291924280871,9482.291924280871,涨,0.5332407355308533
2025-11-19,持有,115830.0,0.08245471238505106,0.0,9550.729335560463,9550.729335560463,涨,0.5247442722320557
2025-11-20,持有,115380.0,0.08245471238505106,0.0,9513.62471498719,9513.62471498719,涨,0.5179789066314697
2025-11-21,持有,114050.0,0.08245471238505106,0.0,9403.959947515074,9403.959947515074,涨,0.5239654779434204
2025-11-24,持有,115530.0,0.08245471238505106,0.0,9525.992921844949,9525.992921844949,涨,0.5042679309844971
2025-11-25,卖出,115880.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.49503299593925476
2025-11-26,空仓,117260.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.4923974573612213
2025-11-27,空仓,116900.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.49068474769592285
2025-11-28,空仓,117080.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.48868849873542786
2025-12-01,空仓,117850.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.4875311553478241
2025-12-02,空仓,118050.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.48636630177497864
2025-12-03,空仓,117870.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.48521894216537476
2025-12-04,空仓,117760.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.4828651547431946
2025-12-05,空仓,117790.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.4807273745536804
2025-12-08,空仓,118030.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.480050265789032
2025-12-09,空仓,117350.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.48085853457450867
2025-12-10,空仓,117090.0,0.0,9554.852071179717,0.0,9554.852071179717,跌,0.4853399097919464
2025-12-11,买入,116970.0,0.08168634753509205,0.0,9464.997088891116,9464.997088891116,涨,0.5040718913078308
2025-12-12,持有,115590.0,0.08168634753509205,0.0,9442.12491158129,9442.12491158129,涨,0.5212576389312744
2025-12-15,持有,114690.0,0.08168634753509205,0.0,9368.607198799707,9368.607198799707,涨,0.5422734022140503
2025-12-16,持有,112290.0,0.08168634753509205,0.0,9172.559964715487,9172.559964715487,涨,0.5905123353004456
2025-12-17,持有,113800.0,0.08168634753509205,0.0,9295.906349493474,9295.906349493474,涨,0.5593386292457581
2025-12-18,持有,113940.0,0.08168634753509205,0.0,9307.342438148387,9307.342438148387,涨,0.5299789905548096
2025-12-19,卖出,114290.0,0.0,9335.93265978567,0.0,9335.93265978567,跌,0.49943140149116516
2025-12-22,买入,117050.0,0.07976021067736583,0.0,9706.817639435421,9706.817639435421,涨,0.515718400478363
2025-12-23,持有,123440.0,0.07976021067736583,0.0,9845.600406014039,9845.600406014039,涨,0.5388222336769104
2025-12-24,持有,128000.0,0.07976021067736583,0.0,10209.306966702827,10209.306966702827,涨,0.5590693354606628
2025-12-25,持有,125410.0,0.07976021067736583,0.0,10002.728021048448,10002.728021048448,涨,0.6016138195991516
2025-12-26,持有,126750.0,0.07976021067736583,0.0,10109.60670335612,10109.60670335612,涨,0.6059790849685669
2025-12-29,持有,125710.0,0.07976021067736583,0.0,10026.656084251657,10026.656084251657,涨,0.6682731509208679
2025-12-30,卖出,126480.0,0.0,10088.07144647323,0.0,10088.07144647323,跌,0.471244752407074
